emag,filter,instrument,mag,mjd,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
0.01,r,LT+IOO,18.63,58583.1645,6187.6,18.57023852255557,-0.034759620090215756,-0.035499999998137355,-16.266428072766907,484505233046738.6,3210489.3168508797,29569.699368789894,1.1657286709485543e-13,1.073675784080761e-15,56.480164138719424,0.5202015359826889,0.009127959812967778,8.407161677915329e-05,1.0921559945416484e+38,1.0059128449022742e+36,2019-04-10T03:56:52.799999909,2019 04 10
0.04,g,P48,18.52,58583.4082,4814.0,18.439574648487017,0.2038578282590257,0.20820000000094296,-16.39709194683546,622751262982966.2,3621068.8190141465,133405.10533388046,1.3148100881840366e-13,4.8439393746732e-15,81.87996429993541,3.016569363390655,0.017008717137502162,0.0006266242965082374,2.0350848121390415e+38,7.497529522255914e+36,2019-04-10T09:47:48.479999830,2019 04 10
0.14,UVW1,Swift,18.49,58583.5747,2614.2,18.344416345113437,0.366885342211204,0.3747000000003027,-16.49225025020904,1146784706602402.2,3952756.8511141054,509687.3040899038,1.4352460126395316e-13,1.8506746011504407e-14,164.5918177507093,21.22325329496826,0.06296068309643842,0.008118450499184554,7.533215403350394e+38,9.71368691443794e+37,2019-04-10T13:47:34.079999775,2019 04 10
0.1,U,Swift,19.22,58583.5766,3475.5,19.111024430253526,0.36874571624717156,0.37660000000323635,-15.725642165068951,862587995971802.6,1950998.1879379952,179693.57376017695,7.084074420402861e-14,6.524673663232025e-15,61.10637557610413,5.628105179537313,0.01758203872136502,0.0016193656105703677,2.1036824634703257e+38,1.9375631523119053e+37,2019-04-10T13:50:18.240000028,2019 04 10
0.29,B,Swift,18.46,58583.5775,4359.1,18.368642412260925,0.36962694605143276,0.3775000000023283,-16.46802418306155,687739345277694.9,3865535.5637319973,1032484.0495965652,1.4035759631910883e-13,3.7489495840851284e-14,96.5294413972549,25.783001324377928,0.022144351218658643,0.005914753349172518,2.6495609560347514e+38,7.076973889999816e+37,2019-04-10T13:51:35.999999950,2019 04 10
0.1,UVW2,Swift,18.87,58583.5785,2079.0,18.659997072630105,0.3706060902831391,0.37850000000617,-16.17666952269237,1442003164983165.0,2955750.7542237453,272234.7050112602,1.073233098858642e-13,9.884842138958857e-15,154.76055253188517,14.253973649737631,0.07443990020773697,0.006856168181691982,8.906698201000177e+38,8.203372202167959e+37,2019-04-10T13:53:02.400000282,2019 04 10
0.11,V,Swift,18.51,58583.5823,5430.1,18.44086062942554,0.37432683834795,0.3823000000047614,-16.395805965896937,552093806743890.44,3616782.447409533,366429.77131233935,1.3132537066544014e-13,1.3305064996351043e-14,72.50392381273528,7.3456439828103335,0.013352226259688639,0.0013527640343290793,1.5975874399970736e+38,1.6185756506003843e+37,2019-04-10T13:58:30.720000160,2019 04 10
0.09,UVM2,Swift,18.85,58583.5833,2255.1,18.644709041521214,0.37530598257253217,0.38330000000132713,-16.191957553801263,1329397623165270.0,2997664.4774160627,248485.59142185646,1.0884519717497724e-13,9.022511824527608e-15,144.6985464173699,11.994505774507546,0.06416502435252092,0.005318835428365725,7.677314254490787e+38,6.363960968383625e+37,2019-04-10T13:59:57.119999863,2019 04 10
0.01,g,LT+IOO,18.58,58584.2324,4795.5,18.499165092090454,1.0108685009338003,1.0324000000036904,-16.337501503232023,625153702429360.8,3427682.611183287,31570.12353610217,1.2445915561206515e-13,1.1463111855958699e-15,77.80610193211449,0.7166206818114482,0.016224815333565738,0.00014943607169459874,1.941291338915717e+38,1.787995399258313e+36,2019-04-11T05:34:39.360000067,2019 04 11
0.02,r,LT+IOO,18.68,58584.2332,6187.6,18.62023852255557,1.0116518163177406,1.0332000000053085,-16.216428072766906,484505233046738.6,3065993.4950936115,56477.68733615411,1.1132622380684904e-13,2.0507048271757556e-15,53.93813800975077,0.9935772202008614,0.008717133946885832,0.00016057554143785333,1.043000877566141e+38,1.9212786181308033e+36,2019-04-11T05:35:48.480000207,2019 04 11
0.02,i,LT+IOO,18.85,58584.2355,7658.7,18.805798537730357,1.013903848042116,1.0355000000054133,-16.03086805759212,391440398501051.06,2584325.560532037,47605.03608899641,9.383686110291828e-14,1.7285388603914595e-15,36.731538304214105,0.6766199403361856,0.004796053939208234,8.834657844493003e-05,5.738455434926278e+37,1.0570625553017531e+36,2019-04-11T05:39:07.200000216,2019 04 11
0.07,z,LT+IOO,19.15,58584.2363,9669.8,19.12091670703133,1.0146871634189323,1.0362999999997555,-15.715749888291146,310029636600550.2,1933303.1355835707,124644.65944653454,7.019823685303946e-14,4.525847584503669e-15,21.763533861547174,1.4031468819331503,0.002250670526954764,0.00014510609132899858,2.6929164436720477e+37,1.736187392765783e+36,2019-04-11T05:40:16.319999727,2019 04 11
0.02,r,P48,18.69,58584.4009,6421.8,18.632741357745385,1.175854303342267,1.2009000000034575,-16.203925237577092,466835557008938.3,3030889.4431817406,55831.0468030664,1.10051595681929e-13,2.027225309419341e-15,51.37599796989579,0.9463808565053953,0.008000248835201312,0.00014737002966542018,9.572259192877757e+37,1.763275305903643e+36,2019-04-11T09:37:17.760000047,2019 04 11
0.02,g,P48,18.65,58584.4691,4814.0,18.569574648487016,1.2426319396895942,1.2691000000049826,-16.26709194683546,622751262982966.2,3212452.972791602,59175.5706167548,1.1664416744206307e-13,2.1486649690943668e-15,72.64030259414137,1.338083823230773,0.015089385665588154,0.00027795675596817054,1.805437726096297e+38,3.3257391955507197e+36,2019-04-11T11:15:30.240000179,2019 04 11
0.03,r,P48,18.75,58585.4191,6421.8,18.692741357745383,2.172818956234282,2.219100000002072,-16.143925237577093,466835557008938.3,2867940.2231298448,79244.11686452158,1.0413490950184467e-13,2.8773538833507788e-15,48.61387848136904,1.3432511028458924,0.007570132748040899,0.00020917049781150028,9.057627366526285e+37,2.5027149302470008e+36,2019-04-12T10:03:30.239999928,2019 04 12
0.03,r,P48,18.92,58586.4101,6421.8,18.862741357745385,3.143150886129322,3.2101000000038766,-15.973925237577092,466835557008938.3,2452280.2193413987,67759.00652279609,8.904229476428619e-14,2.4603295268427258e-15,41.568109273639614,1.1485693050891614,0.006472968524968017,0.00017885472999613214,7.744875658829971e+37,2.1399882286937196e+36,2019-04-13T09:50:32.640000083,2019 04 13
0.02,g,P48,19.04,58586.448,4814.0,18.959574648487017,3.180260452364234,3.2479999999995925,-15.87709194683546,622751262982966.2,2243038.7621771335,41318.300934375075,8.144473745465172e-14,1.500267506927159e-15,50.71981311320045,0.9342934847511943,0.010535898029331211,0.00019407841394914713,1.2606151239038373e+38,2.322138873843054e+36,2019-04-13T10:45:07.199999713,2019 04 13
0.08,i,P48,18.98,58586.5159,7883.1,18.938091958888148,3.246744345443474,3.3159000000014203,-15.89857463643433,380297672235541.8,2287862.155815443,168575.91343378753,8.307227487765874e-14,6.120991416780825e-15,31.592192763284697,2.327798787575479,0.004007584930203181,0.0002952897702141897,4.795056063829351e+37,3.533127876046135e+36,2019-04-13T12:22:53.759999871,2019 04 13
