,emag,filter,instrument,mag,mjd,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
84,0.06,r,LT+IOO,19.89,58598.1218,6187.6,19.83023852255557,14.610594340549998,14.921800000003715,-15.006428072766905,484505233046738.6,1005938.0344556548,55590.190142719715,3.652561003108483e-14,2.018479804082153e-15,17.696849200285047,0.9779640278769588,0.002860050617409827,0.00015805223800455083,3.422036786423034e+37,1.8910874141027823e+36,2019-04-25T02:55:23.520000069,2019 04 25
85,0.08,i,LT+IOO,19.73,58598.1247,7658.7,19.68579853773036,14.613433858810547,14.924700000003213,-15.15086805759212,391440398501051.1,1149071.949532176,84666.75013665267,4.172280248751332e-14,3.074249697461858e-15,16.33199043229286,1.2033855266662057,0.002132475541840372,0.00015712660460211336,2.5514967133462702e+37,1.880012255031816e+36,2019-04-25T02:59:34.080000026,2019 04 25
86,0.3,z,LT+IOO,20.13,58598.1257,9669.8,20.100916707031327,14.614413003035128,14.925699999999779,-14.735749888291144,310029636600550.2,783970.923088263,216619.17130125797,2.846598421733483e-14,7.865442109948676e-15,8.825298742377312,2.4385201590500527,0.0009126661091622695,0.00025217896534055026,1.0920006031583235e+37,3.017309172447436e+36,2019-04-25T03:01:00.479999729,2019 04 25
87,0.09,r,P48,19.96,58598.361,6421.8,19.902741357745388,14.844805639870806,15.161000000000056,-14.933925237577093,466835557008938.3,940957.6881386886,77998.86525046625,3.4166173656315785e-14,2.8321387972444293e-15,15.949984709710295,1.3221430929382278,0.002483724922873695,0.0002058835673702432,2.9717649057298447e+37,2.463386965853902e+36,2019-04-25T08:39:50.399999754,2019 04 25
88,0.08,g,LT+IOO,20.42,58599.1894,4795.5,20.339165092090454,15.655928718305926,15.989400000005846,-14.49750150323202,625153702429360.8,629507.0544266467,46383.79390263642,2.285740114623154e-14,1.6841955566047285e-15,14.289388954479762,1.052881087826524,0.0029797495473839557,0.0002195560604371857,3.5652559795287507e+37,2.6269776867746523e+36,2019-04-26T04:32:44.160000253,2019 04 26
89,0.12,z,LT+IOO,20.17,58599.1918,9669.8,20.14091670703133,15.658278664450624,15.991800000003426,-14.695749888291145,310029636600550.2,755613.9293497403,83513.53774940966,2.7436341774689067e-14,3.0323765556810647e-15,8.506079070055346,0.9401266015938284,0.0008796540848885547,9.722296237707384e-05,1.0525018751388694e+37,1.1632680614606598e+36,2019-04-26T04:36:11.520000044,2019 04 26
90,0.08,g,P48,20.47,58599.2766,4814.0,20.389574648487013,15.741310094977308,16.076600000000326,-14.44709194683546,622751262982966.2,600947.8402966276,44279.4732394874,2.1820416081170552e-14,1.6077876733257874e-15,13.588691673362787,1.001251804172079,0.002822744427370749,0.00020798749567346885,3.377400109750986e+37,2.4885603666525046e+36,2019-04-26T06:38:18.239999777,2019 04 26
91,0.06,r,P48,19.97,58599.4846,6421.8,19.912741357745386,15.944972094395693,16.28460000000632,-14.923925237577095,466835557008938.3,932330.936200262,51522.51157036574,3.385293629343151e-14,1.8707823951199798e-15,15.803754370932202,0.8733477414683517,0.0024609539959095893,0.00013599734365261324,2.944519601308382e+37,1.6272016656003486e+36,2019-04-26T11:37:49.440000295,2019 04 26
96,0.11,r,LT+IOO,21.22,58607.0861,6187.6,21.16023852255557,23.387936943115,23.886100000003356,-13.676428072766907,484505233046738.6,295509.35168135265,29939.15883295997,1.0729944559549915e-14,1.0870908572247766e-15,5.198714289403316,0.5267012091226693,0.0008401826700826356,8.512205202706529e-05,1.0052745174635199e+37,1.0184812520424449e+36,2019-05-04T02:03:59.040000038,2019 05 04
97,0.1,i,LT+IOO,20.88,58607.08900000001,7658.7,20.835798537730355,23.39077646137555,23.889000000002852,-14.000868057592122,391440398501051.1,398425.58872413717,36696.352850542986,1.446683312657342e-14,1.332444572003216e-15,5.662902924114107,0.5215726342455013,0.0007394078530447865,6.810198000254631e-05,8.846979343256718e+36,8.148369101523668e+35,2019-05-04T02:08:09.599999995,2019 05 04
98,0.16,z,LT+IOO,20.72,58607.09,9669.8,20.690916707031327,23.391755605600128,23.889999999999414,-14.145749888291144,310029636600550.2,455302.4165009997,67095.84365051957,1.65320307431513e-14,2.436250082950365e-15,5.125419483568321,0.7553097278851619,0.0005300440012790669,7.811017062247017e-05,6.341950942261643e+36,9.345844288096766e+35,2019-05-04T02:09:35.999999698,2019 05 04
99,0.09,r,P48,20.69,58607.3705,6421.8,20.632741357745388,23.66640556153939,24.17050000000017,-14.203925237577092,466835557008938.3,480363.60456009966,39818.810702771,1.7442002481577222e-14,1.445821016617615e-15,8.142546943838386,0.6749606596279137,0.001267953991690552,0.0001051045905552826,1.5171008431265276e+37,1.2575713629426624e+36,2019-05-04T08:53:31.199999764,2019 05 04
101,0.19,g,LT+IOO,21.86,58610.1965,4795.5,21.779165092090455,26.43346714971223,26.996500000001106,-13.057501503232023,625153702429360.8,167109.29279838194,29243.5358538732,6.067738421509249e-15,1.0618327868541361e-15,3.793269139579393,0.6638086980627493,0.0007910059721779571,0.00013842325056047323,9.4643483531236e+36,1.6562275248931917e+36,2019-05-07T04:42:57.599999844,2019 05 07
102,0.21,r,LT+IOO,21.36,58610.1974,6187.6,21.30023852255557,26.434348379516486,26.9974000000002,-13.536428072766904,484505233046738.6,259759.37406200496,50241.917248373495,9.431862872191402e-15,1.8242840152884417e-15,4.569786918955977,0.8838751519707665,0.0007385394852537293,0.00014284620078394957,8.836589364467343e+36,1.7091479112567074e+36,2019-05-07T04:44:15.359999766,2019 05 07
103,0.19,i,LT+IOO,21.28,58610.1982,7658.7,21.23579853773036,26.43513169490043,26.998200000001816,-13.60086805759212,391440398501051.1,275643.1618859686,48236.57950137256,1.000860320807952e-14,1.7514702016948377e-15,3.9177716282095454,0.6855961937141435,0.0005115452528770608,8.951861199866082e-05,6.120614308745069e+36,1.0710858803134661e+36,2019-05-07T04:45:24.479999905,2019 05 07
104,0.42,z,LT+IOO,20.92,58610.199,9669.8,20.89091670703133,26.435915010284376,26.999000000003434,-13.945749888291145,310029636600550.2,378704.05494102964,146495.71634268697,1.3750744234908788e-14,5.319259460402964e-15,4.263138238135881,1.6491280774927697,0.00044087139735422473,0.00017054417645584913,5.27500503188367e+36,2.0405528559164992e+36,2019-05-07T04:46:33.600000045,2019 05 07
105,0.23,g,LT+IOO,21.77,58611.1743,4795.5,21.689165092090455,27.390874375797196,27.97430000000168,-13.14750150323202,625153702429360.8,181551.81764068874,38459.54281929895,6.59214649853341e-15,1.396465999768745e-15,4.121104790514907,0.8730058900721498,0.000859369156608259,0.000182046896063424,1.0282310561671442e+37,2.1781823419172717e+36,2019-05-08T04:10:59.519999893,2019 05 08
106,0.19,r,LT+IOO,21.52,58611.1751,6187.6,21.46023852255557,27.39165769118113,27.97510000000329,-13.376428072766904,484505233046738.6,224166.76739688625,39228.392328407775,8.139495324180939e-15,1.4243829254444866e-15,3.943628078925125,0.6901209812402762,0.000637343732452829,0.00011153290148688928,7.625787056961082e+36,1.33448579357762e+36,2019-05-08T04:12:08.640000033,2019 05 08
107,0.12,i,LT+IOO,21.1,58611.1759,7658.7,21.05579853773036,27.392441006565075,27.975900000004916,-13.78086805759212,391440398501051.1,325347.31205029844,35958.713797089564,1.1813360900546335e-14,1.305660897972322e-15,4.624226698546592,0.5110884222095259,0.000603787418040476,6.673305158963347e-05,7.224287371477037e+36,7.984577476352716e+35,2019-05-08T04:13:17.760000173,2019 05 08
108,0.21,z,LT+IOO,20.72,58611.1767,9669.8,20.690916707031327,27.39322432194901,27.97670000000653,-14.145749888291144,310029636600550.2,455302.4165009997,88063.29479130694,1.65320307431513e-14,3.197578233872355e-15,5.125419483568321,0.9913440178492752,0.0005300440012790669,0.00010251959894199211,6.341950942261643e+36,1.226642062812701e+36,2019-05-08T04:14:26.880000313,2019 05 08
