,emag,filter,instrument,mag,mjd,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
19,0.04,g,P48,18.52,58583.4082,4814.0,18.439574648487014,0.2038578282590257,0.20820000000094294,-16.39709194683546,622751262982966.2,3621068.8190141465,133405.10533388046,1.3148100881840366e-13,4.843939374673199e-15,81.87996429993541,3.016569363390655,0.017008717137502162,0.0006266242965082374,2.0350848121390415e+38,7.497529522255914e+36,2019-04-10T09:47:48.479999830,2019 04 10
20,0.14,UVW1,Swift,18.49,58583.5747,2614.2,18.34441634511344,0.36688534221120395,0.3747000000003027,-16.49225025020904,1146784706602402.2,3952756.8511141054,509687.30408990383,1.4352460126395314e-13,1.850674601150441e-14,164.5918177507093,21.223253294968263,0.06296068309643843,0.008118450499184554,7.533215403350394e+38,9.71368691443794e+37,2019-04-10T13:47:34.079999775,2019 04 10
21,0.1,U,Swift,19.22,58583.5766,3475.5,19.111024430253526,0.3687457162471716,0.3766000000032364,-15.725642165068953,862587995971802.6,1950998.1879379954,179693.57376017695,7.084074420402861e-14,6.524673663232025e-15,61.106375576104135,5.628105179537313,0.017582038721365018,0.0016193656105703675,2.1036824634703257e+38,1.937563152311905e+37,2019-04-10T13:50:18.240000028,2019 04 10
22,0.29,B,Swift,18.46,58583.5775,4359.1,18.368642412260925,0.3696269460514328,0.3775000000023283,-16.468024183061548,687739345277694.9,3865535.563731997,1032484.0495965652,1.4035759631910885e-13,3.7489495840851284e-14,96.5294413972549,25.783001324377928,0.022144351218658643,0.005914753349172518,2.6495609560347517e+38,7.0769738899998155e+37,2019-04-10T13:51:35.999999950,2019 04 10
23,0.1,UVW2,Swift,18.87,58583.5785,2079.0,18.659997072630105,0.3706060902831391,0.37850000000616996,-16.176669522692368,1442003164983165.0,2955750.754223745,272234.7050112602,1.0732330988586421e-13,9.884842138958857e-15,154.76055253188514,14.253973649737633,0.07443990020773697,0.006856168181691982,8.906698201000177e+38,8.203372202167959e+37,2019-04-10T13:53:02.400000282,2019 04 10
24,0.11,V,Swift,18.51,58583.5823,5430.1,18.44086062942554,0.37432683834795,0.3823000000047614,-16.395805965896937,552093806743890.4,3616782.447409533,366429.77131233935,1.3132537066544017e-13,1.3305064996351044e-14,72.50392381273528,7.345643982810333,0.01335222625968864,0.0013527640343290793,1.5975874399970738e+38,1.618575650600384e+37,2019-04-10T13:58:30.720000160,2019 04 10
25,0.09,UVM2,Swift,18.85,58583.5833,2255.1,18.64470904152121,0.37530598257253217,0.3833000000013271,-16.191957553801263,1329397623165270.0,2997664.4774160627,248485.5914218565,1.0884519717497724e-13,9.022511824527607e-15,144.6985464173699,11.994505774507545,0.06416502435252093,0.005318835428365725,7.677314254490787e+38,6.363960968383625e+37,2019-04-10T13:59:57.119999863,2019 04 10
26,0.01,g,LT+IOO,18.58,58584.2324,4795.5,18.499165092090454,1.0108685009338003,1.0324000000036904,-16.337501503232026,625153702429360.8,3427682.6111832866,31570.123536102168,1.2445915561206515e-13,1.14631118559587e-15,77.80610193211449,0.7166206818114482,0.016224815333565738,0.00014943607169459874,1.941291338915717e+38,1.787995399258313e+36,2019-04-11T05:34:39.360000067,2019 04 11
27,0.02,r,LT+IOO,18.68,58584.2332,6187.6,18.62023852255557,1.0116518163177406,1.0332000000053083,-16.216428072766906,484505233046738.6,3065993.495093612,56477.687336154115,1.1132622380684904e-13,2.050704827175756e-15,53.93813800975077,0.9935772202008614,0.008717133946885832,0.00016057554143785333,1.043000877566141e+38,1.9212786181308036e+36,2019-04-11T05:35:48.480000207,2019 04 11
28,0.02,i,LT+IOO,18.85,58584.2355,7658.7,18.80579853773036,1.013903848042116,1.035500000005413,-16.03086805759212,391440398501051.1,2584325.5605320367,47605.036088996414,9.383686110291828e-14,1.7285388603914595e-15,36.7315383042141,0.6766199403361856,0.004796053939208234,8.834657844493003e-05,5.738455434926278e+37,1.0570625553017532e+36,2019-04-11T05:39:07.200000216,2019 04 11
