Wavelength (nm),u',Wavelength (nm),g',Wavelength (nm),r',Wavelength (nm),i',Wavelength (nm),z_s,Wavelength (nm),Y,Wavelength (nm),z'
401,0.003490011,401,43.00172806,401,4.92E-05,401,0.001600867,401,0.000246324,401,1.66E-05,667.2999878,-0.02889231
402,0.001602586,402,79.58659363,402,0.000126905,402,0.000190202,402,-1.54E-05,402,4.92E-05,667.1199951,-0.028815772
403,0.000439644,403,95.49369812,403,0.000117528,403,0.003096739,403,-9.42E-05,403,6.21E-06,666.9400024,-0.028653722
404,0.000484786,404,94.28020477,404,0.000132298,404,0.001460301,404,-2.23E-05,404,8.21E-05,666.7600098,-0.028687658
405,0.001063722,405,96.20343018,405,3.09E-05,405,0.002134132,405,-2.84E-05,405,0.00011882,666.5800171,-0.028887996
406,0.002452977,406,96.86205292,406,3.12E-06,406,0.001704829,406,3.05E-05,406,0.000917113,666.4000244,-0.028421927
407,0.002159001,407,96.86621094,407,2.03E-05,407,2.41E-05,407,-2.59E-05,407,0.000316629,666.2200317,-0.028528728
408,0.002471547,408,96.2042923,408,8.04E-05,408,9.35E-05,408,-8.48E-05,408,8.04E-05,666.039978,-0.028794263
409,0.004729929,409,97.69301605,409,7.20E-05,409,8.96E-05,409,-4.71E-05,409,0.000239466,665.8599854,-0.029103382
410,0.002742644,410,97.81702423,410,3.78E-05,410,-8.22E-05,410,-5.98E-05,410,0.000199653,665.6799927,-0.02899274
411,0.000866528,411,97.78171539,411,2.94E-05,411,4.55E-06,411,0.000136355,411,0.000143635,665.5,-0.028602969
412,0.000797493,412,96.40255737,412,5.15E-05,412,9.92E-05,412,5.65E-05,412,0.000114728,665.3200073,-0.028832939
413,0.001893313,413,96.87779999,413,3.18E-05,413,-4.12E-06,413,-2.01E-05,413,0.000196104,665.1400146,-0.028945325
414,0.004181006,414,97.39479065,414,8.19E-05,414,0.00010807,414,1.80E-05,414,0.000848407,664.960022,-0.028606484
415,0.005125572,415,97.87387085,415,0.000239129,415,0.000722501,415,0.000165272,415,0.000647551,664.7800293,-0.028743166
416,0.006505751,416,97.59480286,416,5.24E-05,416,8.89E-05,416,0.002076077,416,0.000384837,664.5999756,-0.02872619
417,0.007138816,417,97.78094482,417,1.62E-05,417,1.29E-05,417,0.000481855,417,0.000228631,664.4199829,-0.028336374
418,0.004493135,418,97.8325882,418,0.000107811,418,0.000390068,418,0.001453003,418,8.99E-05,664.2399902,-0.028701829
419,0.004669994,419,97.6606369,419,0.000178516,419,0.000347555,419,0.000762,419,0.000137516,664.0599976,-0.028740207
420,0.006890829,420,98.34131622,420,1.25E-05,420,9.58E-06,420,-1.83E-05,420,0.00071524,663.8800049,-0.028303685
421,0.003481652,421,98.58932495,421,3.31E-05,421,0.00116221,421,-3.76E-05,421,0.003987164,663.7000122,-0.028750988
422,0.001452238,422,98.49518585,422,0.00019536,422,0.002843325,422,0.000427644,422,0.004066163,663.5200195,-0.028507074
423,0.001987831,423,98.13925934,423,0.000192009,423,0.001008666,423,0.000855077,423,0.001151743,663.3400269,-0.028737957
