,Mej,Rcsm,kappa,Mcsm,beta,delta,s,tau,bt,Lpeak,tpeak,max_ind,trise,tfall
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a6.0e-03_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.03,0.1,0.1,0,860.7349354,86.07349354,1.12E+46,0.502040888,293,0.038172592,0.259075921
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a6.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.03,0.01,0.1,0,860.7349354,8.607349354,5.80E+43,1.261478913,54,0.317919854,0.793768024
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a6.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.03,0.03,0.1,0,860.7349354,25.82204806,1.09E+45,0.705082907,83,0.088604336,0.299871445
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a6.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.03,0.05,0.1,0,860.7349354,43.03674677,3.09E+45,0.58475357,129,0.055470102,0.25255036
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+13_k2.0e-01_a1.0e-01_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+13,0.2,0.5,0.01,0.1,0,358639.5564,3586.395564,8.49E+43,0.466413869,82,0.010247732,0.034171664
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+13_k2.0e-01_a1.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+13,0.2,0.05,0.01,0.1,0,35863.95564,358.6395564,8.22E+43,0.292389351,52,0.013390157,0.041323302
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+13_k2.0e-01_a1.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+13,0.2,0.05,0.03,0.1,0,35863.95564,1075.918669,4.28E+44,0.151829548,308,0.006124362,0.039875683
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+13_k2.0e-01_a1.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+13,0.2,0.005,0.01,0.1,0,3586.395564,35.86395564,8.49E+43,0.184103627,47,0.02058784,0.052097457
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+13_k2.0e-01_a1.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+13,0.2,0.005,0.03,0.1,0,3586.395564,107.5918669,5.94E+44,0.117138872,206,0.007687314,0.045326355
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+13_k2.0e-01_a2.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+13,0.2,0.1,0.01,0.1,0,71727.91129,717.2791129,8.33E+43,0.336044628,61,0.012168979,0.034575839
