,jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fmcmc_low_3sigma,Fmcmc_low_2sigma,Fmcmc_low_1sigma,Fmcmc_high_3sigma,Fmcmc_high_2sigma,Fmcmc_high_1sigma,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid
620,2458329.8194444,b'r',2.042,6.2,26.184692,5.1281e-06,2.0,722.0,9.0,3.0,2.0,337.387,-12.9446,-0.945137,332.908,1.529,0.0,0.0,11.857170289659498,-0.3329133987426758,ztf_20180730319444_000722_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180730319444_000722_zr_c09_o_q3_diffimgpsf.fits',29.347001289960588,44.94498120258484,-106.13866674712473,-60.73917661456221,-15.503361420310277,164.8818200852382,119.61445818010696,74.38660098485941,9.855687648278529e-10,1.5094001997541996e-09,2458155.058738426,2458218.9608101854,7220932.0
621,2458330.6596644,b'g',2.188,6.2,26.225004,9.8864e-06,2.0,722.0,9.0,3.0,1.0,347.551,-9.71535,-0.902548,323.62,1.009,0.0,0.0,9.97340715250969,0.7985365986824036,ztf_20180731159248_000722_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180731159248_000722_zg_c09_o_q3_diffimgpsf.fits',-76.54564632653145,40.35446071801137,-197.41570408628615,-157.19160652075547,-116.79555520876036,46.46744369042777,4.657149572286358,-36.08663377273763,-2.4769594362118235e-09,1.305839941010223e-09,2458167.064247685,2458207.0039004628,7220931.0
622,2458330.6737153,b'g',3.402,6.2,26.178588,9.4425e-06,2.0,722.0,9.0,3.0,1.0,347.721,-9.67236,-0.901714,323.459,1.017,0.0,0.0,4.741167174053192,-0.03612595796585083,ztf_20180731173692_000722_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180731173692_000722_zg_c09_o_q3_diffimgpsf.fits',-65.97830843626754,28.09041210179049,-150.25739336381244,-122.15733708304447,-94.09001508652017,19.636006084123636,-9.585063129048942,-37.909190882939185,-2.2282605777371296e-09,9.486869153720538e-10,2458167.064247685,2458207.0039004628,7220931.0
623,2458330.7006597,b'g',2.157,6.2,26.165483,6.7173e-06,2.0,722.0,9.0,3.0,1.0,348.03,-9.58951,-0.900183,323.165,1.047,0.0,0.0,4.730354647064209,0.27186810970306396,ztf_20180731200637_000722_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180731200637_000722_zg_c09_o_q3_diffimgpsf.fits',-55.86061012441962,21.246432417208858,-120.46038099447469,-98.39114214088319,-77.24152029866983,7.887063007740783,-13.536826256764474,-34.74865546425211,-1.9094683968709605e-09,7.262611554353071e-10,2458167.064247685,2458207.0039004628,7220931.0
624,2458330.8035532,b'r',1.62,6.2,26.173988,5.0491e-06,2.0,722.0,9.0,3.0,2.0,349.026,-9.25942,-0.894139,322.025,1.429,0.0,0.0,10.798974371099472,1.2552679181098938,ztf_20180731303542_000722_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180731303542_000722_zr_c09_o_q3_diffimgpsf.fits',-13.44510129686534,35.314692326092384,-119.43916986185391,-84.19385911439377,-48.66121745187299,92.79745087056696,57.39317910382934,21.968167200311775,-4.5600423765999843e-10,1.1977335831703167e-09,2458155.058738426,2458218.9608101854,7220932.0
625,2458330.8177315,b'r',2.064,6.2,26.171446,4.352e-06,2.0,722.0,9.0,3.0,2.0,349.143,-9.21124,-0.893274,321.864,1.537,0.0,0.0,10.82890923042297,-0.5541164875030518,ztf_20180731317731_000722_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180731317731_000722_zr_c09_o_q3_diffimgpsf.fits',-20.653943001373626,39.16532343760013,-138.2061502616898,-98.7903982777859,-59.874609901674624,97.68971377170612,57.702019909667335,18.456036973525634,-7.021413891596228e-10,1.3314452646448677e-09,2458155.058738426,2458218.9608101854,7220932.0
626,2458330.8405556,b'r',2.035,6.2,26.159703,4.8002e-06,2.0,722.0,9.0,3.0,2.0,349.323,-9.13191,-0.891913,321.612,1.766,0.0,0.0,11.050552537536618,-0.8058576583862305,ztf_20180731340556_000722_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180731340556_000722_zr_c09_o_q3_diffimgpsf.fits',27.355027121601637,40.42890407250886,-96.42497785626016,-54.51342330756398,-13.081261132430285,149.3526174387947,108.12814594543184,67.77654701258743,9.400608140140526e-10,1.3893471318204837e-09,2458155.058738426,2458218.9608101854,7220932.0
627,2458331.6842014,b'r',1.59,6.2,26.231931,4.3926e-06,2.0,722.0,9.0,3.0,2.0,359.378,-5.60167,-0.835758,312.184,1.029,0.0,0.0,4.759372502708434,0.72930908203125,ztf_20180801184178_000722_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180801184178_000722_zr_c09_o_q3_diffimgpsf.fits',0.5265905231822054,16.433725550604514,-49.37008597949552,-32.452022563947864,-15.898740497131598,50.61565662528377,33.57784544634288,16.96871060407743,1.6931702888892338e-11,5.284009987474824e-10,2458155.058738426,2458218.9608101854,7220932.0
628,2458331.6938657,b'r',1.768,6.2,26.258924,3.0783e-06,2.0,722.0,9.0,3.0,2.0,359.496,-5.56566,-0.835079,312.079,1.042,0.0,0.0,5.24194129886627,-0.3938000202178955,ztf_20180801193843_000722_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180801193843_000722_zr_c09_o_q3_diffimgpsf.fits',40.890066128654354,18.721986382347275,-16.358541658224254,3.373333210368273,22.181021341459925,97.83234258695177,78.36713025829934,59.624994106154475,1.2824729476232259e-09,5.871949677470795e-10,2458155.058738426,2458218.9608101854,7220932.0
629,2458331.6948264,b'r',1.608,6.2,26.246533,3.1178e-06,1.0,722.0,9.0,3.0,2.0,359.508,-5.56208,-0.835034,312.072,1.043,0.0,0.0,5.462690746688843,0.6594452857971191,ztf_20180801194792_000722_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180801194792_000722_zr_c09_o_q3_diffimgpsf.fits',-1.677478866139083,18.31623042990403,-56.97289412280798,-38.273694185094,-19.92353831241565,53.05049686464261,34.73965719744099,16.708922547392408,-5.3216199711778495e-11,5.810625672847941e-10,2458155.058738426,2458218.9608101854,7220932.0
