mjd,Fratio,Fratio_unc,filterid,limmag
58707.201485333346,1.1735574796852408e-09,6.884149695337391e-10,2.0,21.15794922550918
58712.97010803331,-8.516579389314273e-11,9.488594914783016e-10,2.0,20.809570223617357
58717.35048609995,2.3103234200845975e-10,1.1109153382314771e-09,2.0,20.63837258154652
58721.854114550166,5.6857668011247e-10,8.739643108394067e-10,2.0,20.898840743735203
58726.865644266676,-5.783703216383509e-10,5.065713732251663e-10,2.0,21.490973379657177
58732.207157419994,6.756534687570462e-10,5.372556479393575e-10,2.0,21.427122514809863
58735.24709489988,6.390319691663542e-10,1.3811975818516232e-09,2.0,20.401935465830544
58740.26623839978,4.104962081912188e-09,2.019202670818984e-09,2.0,19.98962520913508
58747.20198946659,6.33552480081786e-10,5.143139213825302e-10,2.0,21.474504289392684
58750.73933740007,1.745209941248811e-09,1.0094199287431722e-09,2.0,20.742395302516506
58636.3048843001,9.76981813208456e-10,1.1762760719560262e-09,3.0,20.576301832649463
58644.24387730006,3.313258700983372e-09,1.6769255674046994e-09,3.0,20.19129052343605
58648.299374999944,1.7172414803566819e-09,1.6601924036558107e-09,3.0,20.202178933210636
58653.468854200095,4.602690211843691e-09,2.3646577470290862e-09,3.0,19.81815426107675
58662.35120370006,1.6818120306846063e-09,1.4499116403971812e-09,3.0,20.349221147809047
58671.178935199976,1.1667090017119997e-09,1.244008020456453e-09,3.0,20.515517038215172
58677.23728589993,-3.1592985024404735e-10,9.034431186553367e-10,3.0,20.862822953397266
58688.339803200215,-3.3667015410436585e-10,1.3572737091632857e-09,3.0,20.420906397290093
58692.302546299994,9.510435765830729e-10,1.385232110737974e-09,3.0,20.39876861348048
58703.38373839995,1.7848081230779234e-09,1.686363627924648e-09,3.0,20.18519692261115
58710.246111100074,3.9797580362412053e-10,1.5949605067568616e-09,3.0,20.24570015454829
58717.23064814997,9.391812149341051e-10,1.072792610692057e-09,3.0,20.676285555487706
58725.22430559993,2.206967233444295e-09,1.2249914372384118e-09,3.0,20.532242356741442
58733.13913189992,-1.5069016870090044e-09,1.2173642771199799e-09,3.0,20.53902360547721
58747.121932900045,1.1913284474480452e-09,1.6369759713959733e-09,3.0,20.217469227659308
58751.11166669987,2.048591755992842e-09,2.8990576745578043e-09,3.0,19.596932850657723
58758.26797450008,1.154264075792958e-09,2.2998708178174266e-09,3.0,19.84831638246886
58763.12356479978,1.8592848950237897e-09,2.3891789978051845e-09,3.0,19.80695326814762
