mjd,Fratio,Fratio_unc,instrument,wave,Fratio0,Fratio0_abs,Fratio0_unc,freq,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date,Fratio0_max,Fratio0_min
58624.5681,1.1787590718810246e-07,2.1751183145139082e-08,Swift UVOT,5430.085524243962,1.1942403847039008e-06,6732956.791002094,1302113.3722714474,552095278539356.9,2.4447366108128605e-13,4.7279736547176257e-14,134.97275401020894,26.102919318280687,0.024856469277986442,0.004807091748691201,2.9740645753639495e+38,5.751662120801806e+37,2019-05-21T13:38:03.839999721,2019 05 21,2.130631922346893e-06,5.011488508722441e-07
58628.192199100275,2.9691301485924545e-08,6.527182707710677e-10,P48+ZTF,4813.966872932173,4.3899861003458773e-07,2475011.4889187124,175326.065467618,622755548414061.5,8.986766716263845e-14,6.36608943712921e-15,55.965588348561255,3.9645175186723653,0.011625669603844362,0.0008235448276480534,1.3910057678344504e+38,9.853674191376123e+36,2019-05-25T04:36:46.002263725,2019 05 25,8.608383824278006e-07,1.598731120086159e-07
58628.30576969986,2.0003570345608586e-07,1.8926217700123765e-09,P48+ZTF,6421.811631761602,1.3613152430653426e-06,7674900.989689774,375052.82722390327,466834711434477.7,2.786756549356357e-13,1.3618168156499928e-14,130.09546895569156,6.357433601605837,0.020258375115248337,0.0009899750983293626,2.4239048237656754e+38,1.1845004362873478e+37,2019-05-25T07:20:18.502067775,2019 05 25,2.1987279891603497e-06,6.63192355218511e-07
58629.1437,6.940342687964747e-08,1.7497861470669237e-08,Swift UVOT,5430.085524243962,7.031494152936198e-07,3964256.01698618,1025470.3126517812,552095278539356.9,1.439421359767682e-13,3.7234827052386175e-14,79.46977365564382,20.557172212851924,0.014635086924659165,0.0037857916088189286,1.7510811005868993e+38,4.529681423205954e+37,2019-05-26T03:26:55.680000046,2019 05 26,1.2544816015207778e-06,2.950683346328615e-07
58633.17189999996,2.779713267759283e-07,2.816231586581728e-08,P60+SEDM,7681.939914479305,1.2117888105071687e-06,6831892.31034714,736430.1755465957,390256187027623.3,2.4806600978870465e-13,2.673977967409689e-14,96.80929511129696,10.435364457571797,0.012602193741300418,0.0013584282842284017,1.5078464104742307e+38,1.6253528983193524e+37,2019-05-30T04:07:32.159996331,2019 05 30,1.7509900267822985e-06,6.976568074032487e-07
58633.20120369992,1.491436754332144e-07,1.6675810767406367e-09,P48+ZTF,6421.811631761602,1.014976603007256e-06,5722293.18272494,281704.52645557653,466834711434477.7,2.0777646546474257e-13,1.0228691355601984e-14,96.99726629810881,4.775108177344788,0.015104346228153216,0.0007435764938553488,1.8072277502004713e+38,8.896856929745197e+36,2019-05-30T04:49:43.999673277,2019 05 30,1.6393392175274629e-06,4.94466456075491e-07
58633.22868059995,2.4159851887038378e-08,8.841547926760998e-10,P48+ZTF,4813.966872932173,3.572137584497367e-07,2013920.1718503735,154352.06627827944,622755548414061.5,7.312544143988706e-14,5.604523526564326e-15,45.53927438691721,3.490248122385077,0.00945982296699507,0.0007250253719048086,1.1318632610573808e+38,8.674893649243326e+36,2019-05-30T05:29:18.003835380,2019 05 30,7.004653476706884e-07,1.3008896591074385e-07
58634.21579860011,2.1849984147721827e-08,9.815388329068077e-10,P48+ZTF,4813.966872932173,3.230613745468481e-07,1821373.9072347477,147438.81947355962,622755548414061.5,6.613408657169368e-14,5.35350353508495e-15,41.18536935181812,3.333924029928445,0.008555391102376289,0.0006925523415365262,1.0236484241346133e+38,8.286355405163112e+36,2019-05-31T05:10:44.999049604,2019 05 31,6.334954706756347e-07,1.176514597950922e-07
58634.25732639991,1.3821432462068828e-07,2.574434285961664e-09,P48+ZTF,6421.811631761602,9.405984215084384e-07,5302959.614174572,272752.17661478627,466834711434477.7,1.925504635906787e-13,9.903631532882889e-15,89.88924010692939,4.6233589688067775,0.01399748937859633,0.0007199462136105227,1.6747928613411172e+38,8.614121764923136e+36,2019-05-31T06:10:33.000952005,2019 05 31,1.5192073154736421e-06,4.5823161508891805e-07
58635.19334489992,2.19218513525042e-08,8.313694968210301e-10,P48+ZTF,4813.966872932173,3.2412396195216915e-07,1827364.6233236727,141228.9861276041,622755548414061.5,6.635160947288255e-14,5.128024486293304e-15,41.320832945440614,3.193505701242323,0.008583530804455291,0.0006633833978373782,1.0270153259330345e+38,7.937350398916107e+36,2019-06-01T04:38:24.999352992,2019 06 01,6.355791128609998e-07,1.1803842948334804e-07
58635.23576389998,1.3586793584451748e-07,2.3834781173221103e-09,P48+ZTF,6421.811631761602,9.24630398040768e-07,5212934.177568533,266127.93182262254,466834711434477.7,1.8928163998751344e-13,9.663105204479425e-15,88.36323978341552,4.511072929694151,0.013759861679277584,0.0007024611104104738,1.6463608215865813e+38,8.404913347419115e+36,2019-06-01T05:39:30.000958443,2019 06 01,1.4934165661899725e-06,4.5045246830741056e-07
58636.20693864976,1.3548363044866904e-07,1.1920890530687088e-09,P48+ZTF,6421.811631761602,9.220150609568279e-07,5198189.280472761,253377.8627202447,466834711434477.7,1.8874625277396595e-13,9.200150195372085e-15,88.11330244807337,4.294949461610381,0.013720941612842439,0.0006688065156517538,1.6417040543860162e+38,8.002237742325106e+36,2019-06-02T04:57:59.499339312,2019 06 02,1.4891924051245314e-06,4.491783537558957e-07
58636.24918984994,1.9502556494286483e-08,7.313603482283068e-10,P48+ZTF,4813.966872932173,2.883536512258143e-07,1625696.7182636878,125306.55927330515,622755548414061.5,5.90290478401545e-14,4.54988116721371e-15,36.76066706005529,2.833463741506984,0.007636252602142332,0.0005885922808149965,9.136739453449048e+37,7.042478286547522e+36,2019-06-02T05:58:50.003035069,2019 06 02,5.654366210153216e-07,1.0501171194342928e-07
58637.193159699906,1.2417665419965554e-07,1.5897358315454496e-09,P48+ZTF,6421.811631761602,8.450670019112637e-07,4764367.109207203,236420.43856730312,466834711434477.7,1.7299416973531354e-13,8.584426124378777e-15,80.75968330823214,4.007508092604958,0.012575841201695059,0.0006240463474176425,1.504693341804877e+38,7.466684485570755e+36,2019-06-03T04:38:08.998071849,2019 06 03,1.364909765965892e-06,4.116915447541755e-07
58637.214513900224,2.0615387337677917e-08,1.004429681924e-09,P48+ZTF,4813.966872932173,3.0480733190007e-07,1718460.2208646964,142835.8122938164,622755548414061.5,6.239729061959713e-14,5.186368344388473e-15,38.858258939358784,3.2298396625869716,0.008071983037076933,0.0006709310113344602,9.658088819867149e+37,8.027657230828433e+36,2019-06-03T05:08:54.000979364,2019 06 03,5.977008686298959e-07,1.1100376083210806e-07
58638.2057523001,2.0731534272507758e-08,1.1794639145464645e-09,P48+ZTF,4813.966872932173,3.0652461408031564e-07,1728142.0126259243,152346.7416372725,622755548414061.5,6.274883647844731e-14,5.5317101888493644e-15,39.07718607347972,3.4449032123245376,0.008117460527865645,0.000715605924023789,9.712502418523711e+37,8.562190409096355e+36,2019-06-04T04:56:16.998728514,2019 06 04,6.010683107593784e-07,1.1162915517294931e-07
58638.227708299644,1.2233440628177838e-07,1.7682340467816762e-09,P48+ZTF,6421.811631761602,8.325298391509061e-07,4693684.3754557595,235032.7062243814,466834711434477.7,1.7042767967279862e-13,8.534037563007289e-15,79.56155666049854,3.983984963097501,0.01238926976104305,0.000620383342200997,1.4823701588052234e+38,7.422856804606239e+36,2019-06-04T05:27:53.997089267,2019 06 04,1.3446603705328507e-06,4.0558381141235455e-07
58639.17532410007,1.12861848589582e-07,1.8382192325595412e-09,P48+ZTF,6421.811631761602,7.680656612346188e-07,4330244.543712463,219256.93967943263,466834711434477.7,1.5723117938219955e-13,7.961219479760199e-15,73.40097225539172,3.716573598500395,0.011429947881429325,0.0005787422321948241,1.3675877580296832e+38,6.924622929299293e+36,2019-06-05T04:12:28.002246022,2019 06 05,1.2405410689935598e-06,3.741787785242628e-07
58639.19152780017,2.6257495894968327e-07,3.858227624843542e-09,P48+ZTF,7883.058236798149,1.0686387287355402e-06,6024832.586407424,229199.06127040565,380299686992755.6,2.1876167121245357e-13,8.32221791472843e-15,83.19499508810821,3.1649368680567256,0.010553644612157452,0.00040148591739215967,1.2627384939901926e+38,4.803759661397275e+36,2019-06-05T04:35:48.001934588,2019 06 05,1.5178376114681325e-06,6.313051152363096e-07
58639.229166700505,2.072501154038237e-08,1.0362207748419736e-09,P48+ZTF,4813.966872932173,3.0642817269198405e-07,1727598.2898471456,144898.78447211764,622755548414061.5,6.272909390434986e-14,5.261274864182591e-15,39.06489127592056,3.2764881134011468,0.008114906543203163,0.0006806212422906532,9.70944658817799e+37,8.143600377425815e+36,2019-06-05T05:30:00.002923608,2019 06 05,6.008791975211295e-07,1.1159403345609973e-07
58642.19833329972,1.6747242743854695e-08,1.1454112862168504e-09,P48+ZTF,4813.966872932173,2.4761515725234684e-07,1396018.9053484404,133992.79806704103,622755548414061.5,5.068944645320187e-14,4.86527849781426e-15,31.567134024768936,3.0298791790934607,0.006557405744161569,0.0006293934418472577,7.845904384847862e+37,7.530662212843262e+36,2019-06-08T04:45:35.997095704,2019 06 08,4.855519506472278e-07,9.017569729279213e-08
58642.22377310041,1.0124914419167087e-07,1.5353561927563483e-09,P48+ZTF,6421.811631761602,6.890370116637744e-07,3884692.3001047675,195337.07658675863,466834711434477.7,1.410531774168041e-13,7.092689250865206e-15,65.84851937628993,3.31111353972208,0.010253885219960377,0.0005156042764234413,1.2268724271125651e+38,6.169180329948046e+36,2019-06-08T05:22:13.995875716,2019 06 08,1.1128979645457679e-06,3.35678367612379e-07
58643.22851849999,2.44378074984859e-07,3.878901906944922e-09,P48+ZTF,7883.058236798149,9.945802769132385e-07,5607301.608126449,215954.16356056227,380299686992755.6,2.0360112139107137e-13,7.841295678884016e-15,77.42944273639849,2.9820422922972383,0.009822259383415122,0.0003782849501703606,1.1752286036907916e+38,4.5261612062150567e+36,2019-06-09T05:29:03.998399377,2019 06 09,1.4126489255255998e-06,5.875546145247908e-07
